Title,Description,Location,ID,Price,Bed,Date
Cyberpark ന്റെ അടുത്തായി ഒരു അപാർട്മെന്റ്,കോഴിക്കോട് cyberpark ന് അടുത്തായി കൊണ്ട് രണ്ടു ബെഡ്റൂം ഫർണിച്ചർ ഇല്ലാത്തതും ഉള്ളതുമായ അപ്പാർട്ട്മെന്റ് വാടകയ്ക്ക് എടുക്കാം,"India,Kerala,Kozhikode,Thondayad",1723626519,"₹ 18,000",2 Bds - 2 Ba - 1250 ft2,2024-04-10T05:31:06+0000
3 bhk furnished flat for Rent at poovangal,3Bhk Furnished flat For Rent At poovangal◾3 Bhk attached◾1650 sqft◾balcony◾Modular kitchen ◾bed With cott◾sofa◾wardrobsAminites◾24 hrs Water supply◾coverd car parking ◾Gym◾lift◾swimming pool◾party area◾ power backup◾skywalk ◾Waste mangementRent 35000+ mncMore detailsEndless properties2nd floor kairali complexThondayad. Calicut,"India,Kerala,Kozhikode,Poovangal",1764311981,"₹ 35,000",3 Bds - 3 Ba - 1650 ft2,2024-04-10T05:16:19+0000
House for rent,Apartment for rent in low cost,"India,Kerala,Kozhikode,West Hill",1767204274,"₹ 12,500",2 Bds - 2 Ba - 1500 ft2,2024-04-10T05:07:45+0000
"3 BHK UNFURNISHED FLAT FOR RENT NEAR KOTTOLI, CALICUT","3 bhk unfurnished flat for rent near kottoli, calicutNear by:-Civil stationbaby memorial hospitalIqrha hospitalMalabar hospitalMedical collegeAminites :-swaming poolGymChildrens play areaGames roomLibraryDay careParty hallConference roomGrand lobbyGuest roomGardenVisitors car parkingSuadle courtOpan areaPrayer room","India,Kerala,Kozhikode,Koottuli",1763627048,"₹ 26,000",3 Bds - 3 Ba - 1580 ft2,2024-04-10T04:01:13+0000
"3 BHK FURNISHED FLAT FOR RENT NEAR SAROVARAM BIO PARK, CALICUT",3 bhk Furnished flat for rent opposite sarovaram bio park calicutAminites :-Swaming poolGymGuest roomChildrens play areaConference roomParty hallGuest car parkingGames area,"India,Kerala,Kozhikode,Eranhipalam",1763626363,"₹ 34,000",3 Bds - 3 Ba - 1820 ft2,2024-04-10T04:01:13+0000
"2 BHK FURNISHED FLAT FOR RENT NEAR NADAKAVE, CALICUT","2 bhk Furnished flat for rent near nadakave, calicutRent 26000+ MNCAdvance 3 months rent","India,Kerala,Kozhikode,Nadakkavu",1763625056,"₹ 26,000",2 Bds - 2 Ba - 1320 ft2,2024-04-10T04:01:13+0000
Kozhikode thondayad 500 metre from star care hospital,Single house with innova site,"India,Kerala,Kozhikode,Thondayad",1767193341,"₹ 15,000",2 Bds - 2 Ba - 1100 ft2,2024-04-10T02:55:48+0000
2 bhk Apartment Ground Floor for RENT near Palazhi - Kovoor Road,"2 bedroom Apartment on Ground Floor for RENT near Palazhi - Kovoor Road.Ground Floor. Kitchen cabinets done.Available to Families as well as Executive/Professional bachelors(Max 2 persons).Rent Rs 13500 per month & deposit 3 months rent.Genuine clients can contact 9,4,4,7,DOUBLE1,4,4,7,1 for details and site visit.SERVICE CHARGES AS APPLICABLE.","India,Kerala,Kozhikode,Kovoor",1765960020,"₹ 13,500",2 Bds - 2 Ba - 950 ft2,2024-04-10T01:01:03+0000
ടൗണിന്റെ ഹൃദയഭാഗത്ത് ലക്ഷ്വറി വില്ല,SecuritySwimming poolClubhouse Children play area CCTV camera,"India,Kerala,Kozhikode,Thondayad",1765749850,"₹ 37,000",3 Bds - 4 Ba - 2000 ft2,2024-04-09T22:45:11+0000
Beautiful luxury house heart of City,Independent house well water 4 car parking,"India,Kerala,Kozhikode,Thondayad",1765749708,"₹ 50,000",4 Bds - 4+ Ba - 3200 ft2,2024-04-09T22:30:19+0000
Beautiful Studio flat,"The high-rises offer meticulously planned, aesthetically designed, well-ventilated, and naturally lit apartments with 40+ world-class lifestyle amenities that .","India,Kerala,Kozhikode,Thondayad",1765749313,"₹ 21,000",1 Bds - 1 Ba - 500 ft2,2024-04-09T21:45:13+0000
Beautiful Villa near Prime location,Amenities*GYM*Kids play area*Childrens park*24*7 power backup*25*7 security* Clubhouse,"India,Kerala,Kozhikode,Malaparamba Paroppady",1765749204,"₹ 30,000",3 Bds - 3 Ba - 1617 ft2,2024-04-09T21:30:11+0000
Beautiful luxury flat,Amenities*GYM*Swimming pool*Indoor games*Mini theatre*Play school*Kids play area*Cafeteria*Mini store*Skywalk*Business centre*Centralized gas line*Yoga and meditation*Access control system*Car wash area*Childrens park*Conference hall*Jogging track*24*7 power backup*Spa,"India,Kerala,Kozhikode,Thondayad",1765748944,"₹ 38,500",3 Bds - 4 Ba - 1750 ft2,2024-04-09T21:15:21+0000
Chevarambalam bhk house for rent,Near iringadanpalli bypass9bhk houseRent 100000Adwance 3lakh,"India,Kerala,Kozhikode,Chevarambalam",1687690626,"₹ 1,00,000",4+ Bds - 4+ Ba - 1900 ft2,2024-04-09T18:15:41+0000
Kovoor 4bhk new house for rent,കോവൂർ ഇരിങ്ങാടൻപള്ളി റോഡിൽ 4ബെഡ്‌റൂം പുതിയ വീട് വാടകക്ക്Rent 30000Adwance 1lakh,"India,Kerala,Kozhikode,Kovoor",1764280549,"₹ 30,000",4 Bds - 4 Ba - 1800 ft2,2024-04-09T17:15:47+0000
3bhk fully furnished duplex flat at kovoor,3Bhk Furnished flat For Rent At kovoor◾3 Bhk attached◾1600 sqft◾balcony◾Modular kitchen ◾bed With cott◾wardrobsAminites◾security 24 hrs ◾car parking ◾water backeup◾lift◾party area◾ power backup◾Waste mangementRent 30000+ mncMore detailsEndless properties2nd floor kairali complexThondayad. Calicut,"India,Kerala,Kozhikode,Kovoor",1764281109,"₹ 30,000",3 Bds - 3 Ba - 1600 ft2,2024-04-09T17:01:20+0000
"2Bhk Furnished Flat For Rent at Civil Station, Calicut (wd)","Are you looking for a Branded Flat ?Here it is !2Bhk  Furnished Flat Available For Rent ,1200 sq.ft Furnished Flat for Rent at   Civil Station,CalicutTotal Rent : 25,500/-It hosts all the amenities and all the facilities are nearby the city.*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-* kottuli ,2bhk , 1000sq.ft,semi , 23000/-*calicut Beach , 3bhk, 1600sq.ft,26000/-* YMC , 1bhk, 700sq.ft semi,25000/-* methoott Thazham 2bhk 800sq.ft semi , 16500/-*pottammal, 3bhk , furnshed,25000/-* East Hill, 3Bhk, Semi Furbished,23000/-""Note : Image shown are only for business purpose , actual building / Land may differ.""For More details, Contact:Big Deals Realtors4th Floor , Hilite Business Park , Palazhy - Calicut -About Us :Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.We Provide the following Specialised Features :* Hassle free Documentation* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","India,Kerala,Kozhikode,Malaparamba",1766027582,"₹ 25,500",2 Bds - 2 Ba - 1200 ft2,2024-03-29T11:54:56+0000
House for rent -4 Bedroom,2.5km to Lulu and hilite mall4 bed room Well waterRate slightly negotiable,"India,Kerala,Kozhikode,Kommeri",1762197871,"₹ 24,000",4 Bds - 4+ Ba - 1800 ft2,2024-02-22T09:17:45+0000
3 bedroom office & commercial space West hill,"3 bedroom attached,2 common bathroom Hall kitchen work area good ground open water well all vehicles acess road frontage just 500 meter Kannur road commercialSuitable for office space & go down Plz check our profile more property details","India,Kerala,Kozhikode,West Hill",1765597952,"₹ 30,000",3 Bds - 3 Ba - 2000 ft2,2024-03-25T07:17:55+0000
3 BHK independent house with good road access and open well water.,3 BHK independent house for rent,"India,Kerala,Kozhikode,Poovangal",1767176039,"₹ 16,000",3 Bds - 2 Ba - 1450 ft2,2024-04-09T16:42:13+0000
FURNISHED FLAT FOR RENT,"2Bhk Flat for rent, Fully Furnished.Master bedroom Ac.2 bedrooms are Bath attached.Designated car parking and lift facility available.Access to terrace.It's opposite to Civil Station Calicut.We prefer decent professionals.Rent 18000/-16k + 2kMaintanance. Looking for family only. Serious Enquiries  plz. Minimum 1 year lease only","India,Kerala,Kozhikode,Eranjipalam",1767170657,"₹ 16,000",2 Bds - 2 Ba - 1150 ft2,2024-04-09T15:34:16+0000
House rent,Top floor 2BHK with attached bathroom,"India,Kerala,Kozhikode,Chevayur",1766465608,"₹ 9,000",2 Bds - 1 Ba - 650 ft2,2024-04-09T14:46:16+0000
"3 BHK house for RENT near Presentation School, Chevayur, Calicut","Call  *(9) *4) *(4) *(6)*(0)*(5)*(4)*(1)*(7)*(1)Near Presentation School,Chevayur, CalicutDirect access from Mavoor Road (Roadside)2 KM to Medical College2 KM to CyberPark1300 sq feet 3 BHK attached, common bathroom2 parking Rent 20000 Advance 100000 (5 months rent)","India,Kerala,Kozhikode,Chevayur",1764263424,"₹ 20,000",3 Bds - 4 Ba - 1400 ft2,2024-04-09T14:01:14+0000
2 bhk flat for rent at chevayur,2bhk flat for Sale at Thondayad◾2bhk attached◾1252 sqft◾balcony◾ modular kitchen Aminities◾ water backeup◾power backup◾24 hrs security ◾GymRent 23500 including mncMore detailsEndless Properties2nd floor kairali complexThondayad Calicut,"India,Kerala,Kozhikode,Chevayur",1764249747,"₹ 23,500",2 Bds - 2 Ba - 1252 ft2,2024-04-09T11:46:15+0000
1 bhk semi furnished flat for Rent at irigaloor,"1 bhk semi furnished flat for Rent at irigaloor◾1 bhk attached◾900 sqft◾balcony◾Wardrobs◾modulqr kitchenAminites◾lift◾coverd parking◾24  hrs security◾power back up◾water back upRent- 25000+mncMore detailsEndless properties2nd floor, kairali complexThondayad, calicut","India,Kerala,Kozhikode,Thondayad",1765012601,"₹ 25,000",1 Bds - 1 Ba - 900 ft2,2024-04-09T11:01:17+0000
2bhk furnished flat for rent at Thondayad bypass,2bhk  furnished flat for rent at Thondayad bypass,"India,Kerala,Kozhikode,Thondayad",1668049540,"₹ 30,000",2 Bds - 2 Ba - 985 ft2,2024-04-09T10:16:32+0000
Studio fully furnished flat for Rent,"Studio ,1bhk ,2bhk,3bhk","India,Kerala,Kozhikode,Thondayad",1630591642,"₹ 20,000",1 Bds - 1 Ba - 483 ft2,2024-04-09T10:16:32+0000
1bhk fully furnished flat for rent at Thondayad bypass,Near metro Hospital,"India,Kerala,Kozhikode,Thondayad",1624512646,"₹ 22,000",1 Bds - 2 Ba - 777 ft2,2024-04-09T10:16:32+0000
3bhk fully furnished flat for rent at Calicut,3bhk fully furnished flat for rent at Calicut,"India,Kerala,Kozhikode,Thondayad",1620524254,"₹ 35,000",3 Bds - 3 Ba - 1800 ft2,2024-04-09T10:16:32+0000
2bhk semi furnished flat for rent calicut Lanmark trade centre,2bhk semi furnished flat for rent at Calicut  landmark trade  centre Fully furnished  AmenitiesNear Cyber parkMetro HospitalMall Hyper Market,"India,Kerala,Kozhikode,Thondayad",1593111598,"₹ 25,000",2 Bds - 2 Ba - 983 ft2,2024-04-09T10:16:32+0000
3bhk semi furnished flat for rent at chevayur,3BHK fully furnished Duplex flat for rent at chevayur▪️3bhk attached▪️2.balcony▪️1600 sq ft▪️ modular kitchenAminities▪️ car parking▪️Security 24 hrs▪️power back up▪️water back upEasy to access from medical collegerent -27000 including mncMore detailsEndless properties2nd floor Kairali ComplexThondayad. Calicut,"India,Kerala,Kozhikode,Chevayur",1764234585,"₹ 27,000",3 Bds - 2 Ba - 1600 ft2,2024-04-09T09:31:16+0000
For rend ...,"Down stairs , location potamal palazhi road.bachlors house...","India,Kerala,Kozhikode,Ashokapuram",1767132586,"₹ 15,000",2 Bds - 2 Ba - 800 ft2,2024-04-09T08:51:20+0000
"3BHK Semi Furnished Flat For Rent at Panniyankara, Calicut (WD)","Are you looking for a Flat ?Here it is !3Bhk Flat Available For Rent ,1500sq.ft Furnished Flat for Rent at Panniyankara, CalicutTotal Rent : 21,000/-It hosts all the amenities and all the facilities*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-* kottuli ,2bhk , 1000sq.ft,semi , 23000/-*calicut Beach , 3bhk, 1600sq.ft,26000/-* YMC , 1bhk, 700sq.ft semi,25000/-* methoott Thazham 2bhk 800sq.ft semi , 16500/-*pottammal, 3bhk , furnshed,25000/-* East Hill, 3Bhk, Semi Furbished,23000/-""Note : Image shown are only for business purpose , actual building / Land may differ.""For More details, Contact:Big Deals Realtors4th Floor , Hilite Business Park , Palazhy - Calicut -About Us :Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.We Provide the following Specialised Features :* Hassle free Documentation* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","India,Kerala,Kozhikode,Panniyankara",1767132520,"₹ 21,000",3 Bds - 3 Ba - 1500 ft2,2024-04-09T08:50:38+0000
"3BHK Residential Flat ForRent at Kallai , Calicut (wd)","Are you looking for a Flat ?Here it is !3Bhk Flat Available For Rent ,1800sq.ft Furnished Flat for Rent at Kallai,CalicutTotal Rent : 39,000/-It hosts all the amenities and all the facilitie*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-* kottuli ,2bhk , 1000sq.ft,semi , 23000/-*calicut Beach , 3bhk, 1600sq.ft,26000/-* YMC , 1bhk, 700sq.ft semi,25000/-* methoott Thazham 2bhk 800sq.ft semi , 16500/-*pottammal, 3bhk , furnshed,25000/-* East Hill, 3Bhk, Semi Furbished,23000/-""Note : Image shown are only for business purpose , actual building / Land may differ.""For More details, Contact:Big Deals Realtors4th Floor , Hilite Business Park , Palazhy - Calicut -About Us :Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.We Provide the following Specialised Features :* Hassle free Documentation* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","India,Kerala,Kozhikode,Kallai",1767131722,"₹ 39,000",3 Bds - 3 Ba - 1800 ft2,2024-04-09T08:42:56+0000
3 BHK Beach view flat,24 hrs securityVisitor’s Car parkLandscaped areaKid’s play areaCCTV SurveillanceIntercom facilityYoga roomFitness centreVisitor’s loungeHome care officeDriver’s roomLed lighting in common areaPassenger lifts-3 nosWheel chair friendly rampsGenerator back upSewage treatment plantAssociation hallRoof top party areaLibrary room,"India,Kerala,Kozhikode,Calicut Beach",1767116434,"₹ 29,500",3 Bds - 3 Ba - 1920 ft2,2024-04-09T06:29:28+0000
3BHK Fuly furnished flat for rent,"A fully furnished 3BHK at Pottammal Palazhi Road near the city centre, Cyber Park. Petal is a residential project by Skyline Builders located at Pottammal in Kozhikode. The essential amenities of the project include 24/7 Security, a Swimming Pool, a Multipurpose Room, a Gym, a Clubhouse, and Car Parking. Owing to its location, facilities such as schools, hospitals, ATMs, markets, and Malls are available close to Petal. An extensive public transport network in the close vicinity makes the project accessible.","India,Kerala,Kozhikode,Pottammal",1767113406,"₹ 36,000",3 Bds - 2 Ba - 1132 ft2,2024-04-09T06:04:25+0000
"single bedroom house in peaceful area, Newtown",borewell water and corporation water available,"India,Tamil Nadu,Avanashi,Avinashi Old Bus Stand",1760856713,"₹ 8,000",1 Bds - 1 Ba - 700 ft2,2024-04-06T06:01:22+0000
Apartment for rent near kaloor stadium,Apartment for rent near kaloor stadiumAt 26000 per month3 month deposit,"India,Kerala,Kochi,Kaloor",1766757580,"₹ 26,000",3 Bds - 2 Ba - 1500 ft2,2024-04-05T12:05:19+0000
Two Sharing Room for One Female in Flair Alliance Atrium  Kakkanad,"One  Female Flat Mate Vacancy in a 3bhk fully furnished flat in KakkanadProperty name Flair Alliance LocationInfopark Expressway Double sharing only available nowRent 4500 for Double sharing ( Two Persons in one room)Advance 10kFully furnished flat Including all amenities  washing machine,  fridge,  Sofa, Bed, Cot, Dining table, Gas Stove etcReady to Occupy","India,Kerala,Kochi,Kakkanad",1765494612,"₹ 4,500",3 Bds - 3 Ba - 1500 ft2,2024-03-24T04:56:52+0000
House for Rent near UC College,"Fully furnished first floor of a villa in Meluha Enclave, a good residential area situated 2kms away from UC college, Aluva. 200 meters away from Kodimattam bus stop in Aluva - Varapuzha route. 3.5 kms away from Aluva metro station.","India,Kerala,Aluva,Thottakkattukara Junction",1767172352,"₹ 15,000",3 Bds - 3 Ba - 960 ft2,2024-04-09T15:56:14+0000
"2BHK, Independent House/Villa for Rent in Kochi/Ernakulam",2 BHK located close to Eroor Bhavan's Vidya MandirFacilities include1. Covered parking2. 24 hours water supply3. Closed gate4. Semi furnished5. 300 metres away from Bhavan's Vidya Mandir Eroor6. 6 km away from Smartcity / Kakkanad info park7. 2 km from VYTTILA mobility hub,"India,Kerala,Kochi,Eroor",1616198216,"₹ 15,000",2 Bds - 2 Ba - 1000 ft2,2021-02-26T04:55:09+0000
House for rent@ Karaparamb,Two wheeler access Only compound Wall we'll water near Karaparamb City,"India,Kerala,Kozhikode,Karaparamba",1766580677,"₹ 10,000",3 Bds - 3 Ba - 1650 ft2,2024-04-03T17:04:50+0000
For rent duplex flat 4 bedroom,Renting flat,"India,Kerala,Kozhikode,Kovoor",1766578630,"₹ 35,000",4 Bds - 4 Ba - 2000 ft2,2024-04-03T16:38:45+0000
2bhk House for rent in chevarambalam,2bhk house. Its a old house with 2 small rooms with 1 common bathroom.There is 2 portions.1 portion is already occupied by a family. Both corporation water and Well water available. Car parking available.Walkable distance from chevarambalam Bus stop. Preferring Family only. No bachelors. 30000 advance.Pets are not allowed,"India,Kerala,Kozhikode,Chevarambalam",1766577097,"₹ 8,500",2 Bds - 1 Ba - 00 ft2,2024-04-03T16:19:07+0000
KOZHIKODE WEST HiLL HOUSE/GODOWN SPACE FOR RENT,"Kozhikode West hillhouse/godown space for rent.Rent-30,000. Advance -6 months rent.Service charge applicableKAIRALI PROPERTIES KOZHIKODECall-944.     763.    8514.Pic may not be original","India,Kerala,Kozhikode,Ashokapuram",1766572255,"₹ 30,000",3 Bds - 1 Ba - 1200 ft2,2024-04-03T15:17:58+0000
House for lease kozhikode,"2300 sq ft house for lease. Price 30 lks 4 bedroom , 3 bathroomLocation kavu stop , thondayad, kozhikode","India,Kerala,Kozhikode,Thondayad",1766564485,"₹ 30,00,000",4 Bds - 2 Ba - 2300 ft2,2024-04-03T13:51:30+0000
Asokapuram nr rajendra hospital 2BHK apartment for lease only family,Asokapuram nr rajendra hospital 2 BHK apartment for lease1 st floorWell waterCar parkingOnly familyAmnt 12 lacs negotiablePh 96⁴56575¹6,"India,Kerala,Kozhikode,Asokapuram",1766549301,"₹ 12,00,000",,2024-04-03T11:19:57+0000
"FULL FURNISHED DOUBLE STORIED HOUSE FOR RENT,MANKAVU,CALICUT","FOUR BEDROOM ATTACHED,HALL,KITCHEN,WORK AREA,GOOD WELL WATER,FULL FURNISHED,CAR SITERENT:25000ADVANCE:1 LAKH","India,Kerala,Kozhikode,Govindapuram",1658433686,"₹ 25,000",4 Bds - 4 Ba - 2500 ft2,2024-04-03T08:50:30+0000
"5Bhk Residential House For Rent at Govindapuram, Calicut(wd)","Are you looking for a House at Calicut ?Here it is !5Bhk Un Furnished House Available For Rent ,2300sq.ft Un Furnished House for Rent at Govindapuram, CalicutLandmark : 1KM from MIMS HospitalTotal Rent : 40,000/-It hosts all the amenities and all the facilities are nearby the city.* Thiruvanoor, 5BHK, 10.5 cent, Rent 60KCan be used for both residential & commercial purpose *  Kovoor ,1.5KM from Medical College, 4BHK (newly constructed)  Full house 40K  Ground floor only 25K 1st floor only 20K* Panniker Road,  3BHK, Ground floor, Rent 24   2BHK, Upstairs, Rent 22K *Govindapuram, 5BHK, Rent 40K""Note : Image shown are only for business purpose , actual building / Land may differ.""For More details, Contact:Big Deals Realtors4th Floor , Hilite Business Park , Palazhy - Calicut -About Us :Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.We Provide the following Specialised Features :* Hassle free Documentation* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","India,Kerala,Kozhikode,Govindapuram",1766522053,"₹ 40,000",4+ Bds - 4+ Ba - 2300 ft2,2024-04-03T07:16:23+0000
"1BHK Residential Furnished  Flat for Rent at Ashokapuram,Calicut (wd)","Are you looking for a Branded Flat ?Here it is !1Bhk Furnished Flat Available For Rent ,900 sq.ft Furnished Flat for Rent at  Ashokapuram  , CalicutTotal Rent : 30,000/-It hosts all the amenities and all the facilities are nearby the city.*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-* kottuli ,2bhk , 1000sq.ft,semi , 23000/-*calicut Beach , 3bhk, 1600sq.ft,26000/-* YMC , 1bhk, 700sq.ft semi,25000/-* methoott Thazham 2bhk 800sq.ft semi , 16500/-*pottammal, 3bhk , furnshed,25000/-* East Hill, 3Bhk, Semi Furbished,23000/-""Note : Image shown are only for business purpose , actual building / Land may differ.""For More details, Contact:Big Deals Realtors4th Floor , Hilite Business Park , Palazhy - Calicut -About Us :Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.We Provide the following Specialised Features :* Hassle free Documentation* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","India,Kerala,Kozhikode,Ashokapuram",1766520865,"₹ 30,000",,2024-04-03T07:07:21+0000
വീടിന്റെ മുകളിലെ നിലാ താഴെനിലവാടയ്ക്ക്  kovoor,ബസ്റ്റോപ്പിൽ നിന്ന് 500 മീറ്റർ,"India,Kerala,Kozhikode,Kovoor",1766518976,"₹ 15,000",2 Bds - 2 Ba - 1000 ft2,2024-04-03T06:52:43+0000
താഴെനില മുകളിലെ നില വാടക Kovoor,കോവൂർ ബസ്റ്റോപ്പിൽ നിന്നും 500 മീറ്റർ ദൂരം,"India,Kerala,Kozhikode,Kovoor",1766518491,"₹ 15,000",2 Bds - 2 Ba - 1000 ft2,2024-04-03T06:49:11+0000
"3BHK Residential Furnished Flat For Rent at Kallai , Calicut (wd)","Are you looking for a Branded Flat ?Here it is !3Bhk Furnished Flat Available For Rent ,1600 sq.ft Luxury Furnished Flat for Rent at  Kallai  ,CalicutTotal Rent : 39,000/-It hosts all the amenities and all the facilities are nearby the city.*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-* kottuli ,2bhk , 1000sq.ft,semi , 23000/-*calicut Beach , 3bhk, 1600sq.ft,26000/-* YMC , 1bhk, 700sq.ft semi,25000/-* methoott Thazham 2bhk 800sq.ft semi , 16500/-*pottammal, 3bhk , furnshed,25000/-* East Hill, 3Bhk, Semi Furbished,23000/-""Note : Image shown are only for business purpose , actual building / Land may differ.""For More details, Contact:Big Deals Realtors4th Floor , Hilite Business Park , Palazhy - Calicut -About Us :Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.We Provide the following Specialised Features :* Hassle free Documentation* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","India,Kerala,Kozhikode,Kallai",1766517811,"₹ 39,000",3 Bds - 3 Ba - 1600 ft2,2024-04-03T06:43:53+0000
"Furnished bedroom, bath attached. Parking.wellwater","For Rent, earnings","India,Kerala,Kozhikode,Chevarambalam",1766512798,"₹ 5,000",1 Bds - 1 Ba - 500 ft2,2024-04-03T06:06:50+0000
1bhk luxury flat for rent near cyberpark thondayad  bypass,"1bhk luxury flat for rent near cyberpark thondayad  bypass.Ready to moveCar parkingFully furnishedVery near cyberpark, hilite mall, airport etcLooking good families, business, professionals etcRent 22k","India,Kerala,Kozhikode,Thondayad",1722080589,"₹ 22,000",1 Bds - 1 Ba - 750 ft2,2024-04-03T05:54:44+0000
Newly furnished luxury studio flat for rent at landmark world,Newly furnished luxury studio flat for rent at landmark world.Ready to moveExcellent viewAll furnitures are brand newLuxury facilities and amenitiesVery near to cyberpark and metrocardiac hospitalRent 20k,"India,Kerala,Kozhikode,Thondayad",1706063540,"₹ 20,000",1 Bds - 1 Ba - 500 ft2,2024-04-03T05:51:54+0000
3bhk luxury furnished flat for rent at landmark world,"3bhk luxury furnished flat for rent at landmark world.Ready to moveLuxury interiorCar parkingExcellent viewVery near to cyberpark and metrodiac hospitalEasy to access calicut airportLooking good families, doctors, engineers, professionals, business etcRent 32k","India,Kerala,Kozhikode,Thondayad",1731864461,"₹ 30,000",3 Bds - 3 Ba - 1700 ft2,2024-04-03T05:50:00+0000
Luxury furnished 1bhk flat for rent near thondayad bypass,"1bhk posh furnished luxury flat for rent near thindayad bypassReady to moveCar parkingLuxury furnishedGood viewVery near to cyberpark, metrocardiac hospital, hilite mall18.5kms from calicut airportAll luxury facilities and amenities are availableWell maintained associatedGated community and family secureLooking families, professionals, IT, business, pilot, etcRent 23k","India,Kerala,Kozhikode,Thondayad",1738394013,"₹ 23,000",1 Bds - 2 Ba - 758 ft2,2024-04-03T05:47:55+0000
Near providace school,Rented flat,"India,Kerala,Kozhikode,Madaparamba",1747850250,"₹ 20,000",2 Bds - 2 Ba - 5000 ft2,2024-04-03T04:48:20+0000
